DATE;eu_m2
2004-02-29;5273548
2004-03-31;5310219
2004-04-30;5344467
2004-05-31;5377365
2004-06-30;5408012
2004-07-31;5428440
2004-08-31;5397916
2004-09-30;5451083
2004-10-31;5490285
2004-11-30;5528865
2004-12-31;5632265
2005-01-31;5637298
2005-02-28;5643364
2005-03-31;5680387
2005-04-30;5738282
2005-05-31;5778327
2005-06-30;5858475
2005-07-31;5896526
2005-08-31;5859423
2005-09-30;5939643
2005-10-31;5976941
2005-11-30;6002366
2005-12-31;6168737
2006-01-31;6134008
2006-02-28;6157331
2006-03-31;6212517
2006-04-30;6316677
2006-05-31;6321177
2006-06-30;6386776
2006-07-31;6382249
2006-08-31;6360016
2006-09-30;6461105
2006-10-31;6472185
2006-11-30;6535927
2006-12-31;6743791
2007-01-31;6704079
2007-02-28;6707664
2007-03-31;6830309
2007-04-30;6875258
2007-05-31;6928873
2007-06-30;7023577
2007-07-31;7063718
2007-08-31;7044759
2007-09-30;7140136
2007-10-31;7229789
2007-11-30;7288789
2007-12-31;7436874
2008-01-31;7449456
2008-02-29;7471675
2008-03-31;7544871
2008-04-30;7625571
2008-05-31;7688720
2008-06-30;7734627
2008-07-31;7750324
2008-08-31;7759476
2008-09-30;7839899
2008-10-31;7972122
2008-11-30;8018985
2008-12-31;8103057
2009-01-31;8101892
2009-02-28;8093799
2009-03-31;8094023
2009-04-30;8164981
2009-05-31;8157432
2009-06-30;8186153
2009-07-31;8170120
2009-08-31;8152962
2009-09-30;8153645
2009-10-31;8178414
2009-11-30;8169984
2009-12-31;8275091
2010-01-31;8234925
2010-02-28;8210916
2010-03-31;8209452
2010-04-30;8268952
2010-05-31;8301215
2010-06-30;8333155
2010-07-31;8337673
2010-08-31;8342474
2010-09-30;8344373
2010-10-31;8378476
2010-11-30;8388301
2010-12-31;8472295
2011-01-31;8435755
2011-02-28;8415890
2011-03-31;8441080
2011-04-30;8482015
2011-05-31;8488119
2011-06-30;8517984
2011-07-31;8522262
2011-08-31;8530700
2011-09-30;8568032
2011-10-31;8555870
2011-11-30;8565195
2011-12-31;8670607
2012-01-31;8640111
2012-02-29;8648412
2012-03-31;8718043
2012-04-30;8721254
2012-05-31;8752513
2012-06-30;8810356
2012-07-31;8833838
2012-08-31;8826211
2012-09-30;8866346
2012-10-31;8928498
2012-11-30;8955966
2012-12-31;9044640
2013-01-31;9000857
2013-02-28;9016092
2013-03-31;9079303
2013-04-30;9125702
2013-05-31;9137227
2013-06-30;9161985
2013-07-31;9152050
2013-08-31;9182537
2013-09-30;9178509
2013-10-31;9198418
2013-11-30;9233295
2013-12-31;9246611
2014-01-31;9221350
2014-02-28;9232803
2014-03-31;9270958
2014-04-30;9297491
2014-05-31;9360278
2014-06-30;9384212
2014-07-31;9400331
2014-08-31;9443647
2014-09-30;9466964
2014-10-31;9476256
2014-11-30;9567457
2014-12-31;9695399
2015-01-31;9738730
2015-02-28;9737235
2015-03-31;9801248
2015-04-30;9869933
2015-05-31;9940369
2015-06-30;9973898
2015-07-31;10027935
2015-08-31;10032566
2015-09-30;10040557
2015-10-31;10114071
2015-11-30;10180680
2015-12-31;10228432
2016-01-31;10264181
2016-02-29;10278374
2016-03-31;10322666
2016-04-30;10399147
2016-05-31;10440837
2016-06-30;10473181
2016-07-31;10542969
2016-08-31;10533407
2016-09-30;10551919
2016-10-31;10568292
2016-11-30;10660028
2016-12-31;10735858
2017-01-31;10734715
2017-02-28;10769896
2017-03-31;10860502
2017-04-30;10927124
2017-05-31;10939554
2017-06-30;11009274
2017-07-31;11034102
2017-08-31;11077981
2017-09-30;11099084
2017-10-31;11118283
2017-11-30;11177789
2017-12-31;11239503
2018-01-31;11225586
2018-02-28;11222732
2018-03-31;11287421
2018-04-30;11323922
2018-05-31;11430137
2018-06-30;11537881
2018-07-31;11527923
2018-08-31;11528752
2018-09-30;11574759
2018-10-31;11589383
2018-11-30;11675062
2018-12-31;11723083
2019-01-31;11706027
2019-02-28;11753674
2019-03-31;11898095
2019-04-30;11955172
2019-05-31;12041574
2019-06-30;12127861
2019-07-31;12162642
2019-08-31;12274644
2019-09-30;12262784
2019-10-31;12304764
2019-11-30;12408914
2019-12-31;12402997
2020-01-31;12371140
2020-02-29;12450407
2020-03-31;12770391
2020-04-30;12953577
2020-05-31;13173499
2020-06-30;13254109
2020-07-31;13321064
2020-08-31;13354820
2020-09-30;13432989
2020-10-31;13530941
2020-11-30;13646036
2020-12-31;13774318
2021-01-31;13810086
2021-02-28;13884380
2021-03-31;13984119
2021-04-30;14041106
2021-05-31;14157339
2021-06-30;14260345
2021-07-31;14390762
2021-08-31;14436151
2021-09-30;14485021
2021-10-31;14565338
2021-11-30;14635579
2021-12-31;14757009
2022-01-31;14761103
2022-02-28;14830370
2022-03-31;14940390
2022-04-30;15026824
2022-05-31;15082607
2022-06-30;15173226
2022-07-31;15311308
2022-08-31;15377981
2022-09-30;15419904
2022-10-31;15322109
2022-11-30;15323031
2022-12-31;15315483
2023-01-31;15211140
2023-02-28;15153188
2023-03-31;15154097
2023-04-30;15132676
2023-05-31;15099160
2023-06-30;15116801
2023-07-31;15083953
2023-08-31;15041990
2023-09-30;15094273
2023-10-31;15003743
2023-11-30;15048232
2023-12-31;15199987
2024-01-31;15027371
2024-02-29;15039580
2024-03-31;15146524